Date,Status,TT,AN,AP,AR,AS,BR,CH,CT,DN,DD,DL,GA,GJ,HR,HP,JK,JH,KA,KL,LA,LD,MP,MH,MN,ML,MZ,NL,OR,PY,PB,RJ,SK,TN,TG,TR,UP,UT,WB,UN
2020-04-05,Deceased,118,0,1,0,0,1,0,0,0,0,7,0,11,0,2,2,0,4,2,0,0,13,45,0,0,0,0,0,0,7,1,0,5,11,0,3,0,3,0
2020-04-05,Recovered,329,0,5,0,0,3,5,8,0,0,16,0,21,28,2,4,0,12,56,3,0,3,56,0,0,0,0,2,0,4,25,0,8,33,0,21,4,10,0
2020-04-06,Confirmed,4777,10,303,1,26,32,18,10,0,0,525,7,146,110,18,109,4,163,327,14,0,256,868,2,0,1,0,40,5,79,301,0,621,364,1,305,31,80,0
2020-04-06,Deceased,134,0,3,0,0,1,0,0,0,0,7,0,12,2,2,2,0,4,2,0,0,15,52,0,0,0,0,0,0,7,2,0,6,11,0,3,0,3,0
2020-04-06,Recovered,394,0,5,0,0,9,5,8,0,0,16,0,22,28,2,4,0,20,59,10,0,11,70,1,0,0,0,2,0,4,25,0,13,45,0,21,4,10,0
2020-04-07,Confirmed,5349,10,314,1,28,38,18,10,0,0,576,7,175,143,27,125,4,175,336,14,0,290,1018,2,0,1,0,42,5,99,343,0,690,404,1,332,31,91,0
2020-04-07,Deceased,161,0,4,0,0,1,0,0,0,0,9,0,14,2,2,3,0,4,2,0,0,21,64,0,0,0,0,1,0,8,2,0,7,11,0,3,0,3,0
2020-04-07,Recovered,469,0,5,0,0,15,7,9,0,0,20,0,25,30,3,4,0,25,71,10,0,21,79,1,0,0,0,2,1,14,25,0,19,45,0,21,4,13,0
2020-04-08,Confirmed,5914,11,348,1,28,39,18,10,0,0,669,7,186,167,27,158,4,181,345,14,0,341,1135,2,0,1,0,42,5,106,383,0,738,453,1,361,35,99,0
2020-04-08,Deceased,181,0,4,0,0,1,0,0,0,0,9,0,16,2,2,3,0,5,2,0,0,24,72,0,0,0,0,1,0,9,3,0,8,11,0,4,0,5,0
2020-04-08,Recovered,565,0,6,0,0,15,7,9,0,0,21,0,25,31,3,6,0,28,84,10,0,25,117,1,0,0,0,2,1,14,45,0,21,45,0,31,5,13,0
2020-04-09,Confirmed,6727,11,363,1,29,58,18,18,0,0,720,7,262,170,28,184,13,197,357,14,0,411,1364,2,0,1,0,48,5,130,463,0,834,471,1,410,35,103,0
2020-04-09,Deceased,227,0,6,0,0,1,0,0,0,0,12,0,18,2,2,4,1,6,2,0,0,33,97,0,0,0,0,1,0,10,3,0,8,12,0,4,0,5,0
2020-04-09,Recovered,635,10,10,0,0,15,7,9,0,0,25,0,26,31,3,6,0,30,97,10,0,25,125,1,0,0,0,2,1,18,60,0,27,45,0,31,5,16,0
2020-04-10,Confirmed,7598,11,381,1,29,60,19,18,0,0,903,7,378,176,28,207,14,207,364,15,0,451,1574,2,0,1,0,50,7,151,561,0,911,487,2,433,35,116,0
2020-04-10,Deceased,249,0,6,0,1,1,0,0,0,0,14,0,19,2,2,4,1,6,2,0,0,37,109,0,0,0,0,1,0,11,3,0,9,12,0,4,0,5,0
2020-04-10,Recovered,786,10,10,0,0,15,7,9,0,0,27,1,33,35,3,6,0,34,124,11,0,37,188,1,0,0,0,12,1,20,60,0,44,45,0,32,5,16,0
2020-04-11,Confirmed,8452,11,405,1,29,64,19,25,0,0,1069,7,468,179,32,224,17,215,374,15,0,529,1761,2,0,1,0,54,7,158,700,0,969,503,2,452,35,126,0
2020-04-11,Deceased,289,0,6,0,1,1,0,0,0,0,19,0,22,2,2,4,1,6,3,0,0,41,126,0,0,0,0,1,0,12,9,0,10,14,0,5,0,5,0
2020-04-11,Recovered,972,10,10,0,0,15,7,9,0,0,27,5,44,35,9,6,0,39,143,11,0,38,208,1,0,0,0,12,1,20,116,0,44,96,0,45,5,16,0
2020-04-12,Confirmed,9210,11,420,1,30,64,21,31,0,0,1154,7,516,195,32,245,19,232,376,15,0,562,1982,2,0,1,0,54,7,170,804,0,1075,531,2,483,35,134,0
2020-04-12,Deceased,331,0,7,0,1,1,0,0,0,0,24,0,24,3,2,4,2,6,3,0,0,44,148,0,0,0,0,1,0,12,11,0,11,16,0,5,0,7,0
2020-04-12,Recovered,1086,10,12,0,0,26,7,10,0,0,28,5,44,43,13,6,0,54,179,11,0,41,217,1,0,0,0,12,1,23,121,0,50,103,0,45,5,19,0
2020-04-13,Confirmed,10453,11,439,1,32,66,21,31,0,0,1510,7,572,196,32,270,24,247,379,17,0,614,2334,2,1,1,0,55,7,176,897,0,1173,592,2,558,35,152,0
2020-04-13,Deceased,358,0,7,0,1,1,0,0,0,0,28,0,26,3,2,4,2,8,3,0,0,51,159,0,0,0,0,1,0,12,11,0,11,17,0,5,0,7,0
2020-04-13,Recovered,1198,10,12,0,0,28,7,10,0,0,31,5,54,50,13,16,0,60,198,12,0,51,229,1,0,0,0,18,1,25,121,0,58,103,0,49,7,29,0
2020-04-14,Confirmed,11484,11,484,1,33,66,21,33,0,0,1561,7,650,198,33,278,27,260,387,17,0,741,2680,2,1,1,0,60,7,184,1005,0,1204,644,2,660,37,190,0
2020-04-14,Deceased,395,0,11,0,1,1,0,0,0,0,30,0,28,3,2,4,2,10,3,0,0,54,177,0,0,0,0,1,0,13,11,0,12,18,0,8,0,7,0
2020-04-14,Recovered,1365,10,16,0,0,29,7,13,0,0,31,5,59,54,14,30,0,71,211,12,0,64,259,1,0,0,0,18,1,27,147,0,81,110,0,50,9,36,0
2020-04-15,Confirmed,12370,11,525,1,33,72,21,33,0,0,1578,7,766,204,35,300,28,279,388,18,0,938,2916,2,7,1,0,60,7,186,1076,0,1242,650,2,735,37,213,0
2020-04-15,Deceased,422,0,14,0,1,1,0,0,0,0,32,0,33,3,2,4,2,12,3,0,0,54,186,0,1,0,0,1,0,13,11,0,14,18,0,11,0,7,0
