TT,AN,AP,AR,AS,BR,CH,CT,DN,DD,DL,GA,GJ,HR,HP,JK,JH,KA,KL,LA,LD,MP,MH,MN,ML,MZ,NL,OR,PY,PB,RJ,SK,TN,TG,TR,UP,UT,WB,UN
119312,2,2175,51,1758,1873,132,741,23,0,15275,290,7956,3587,143,2274,840,3035,958,53,0,2977,34134,234,17,87,84,1447,70,1847,4006,12,17580,1737,685,4751,668,4591,3220
3493,0,34,0,2,13,3,4,0,0,453,0,546,32,2,23,4,26,7,1,0,176,1422,0,0,0,0,5,0,28,112,0,156,74,1,122,9,238,0
53665,27,994,1,917,1499,99,247,1,0,4330,24,5960,832,129,736,362,1570,460,12,0,2922,15486,54,11,1,10,1046,34,252,3622,3,6172,654,19,2789,666,1724,0
130468,3,2540,55,1993,2116,134,792,28,0,16776,318,8466,3957,157,2435,975,3155,1023,60,0,3177,37388,241,18,92,85,1557,82,1933,4361,12,19507,1928,716,5026,693,4934,3736
3851,0,35,0,3,14,3,5,0,0,532,0,580,39,3,26,4,29,8,1,0,183,1571,0,0,0,0,5,0,28,116,0,175,82,1,142,11,255,0
59940,27,1104,3,1069,1663,103,251,1,0,4714,24,6330,1213,142,901,395,1827,517,12,0,3085,17363,54,11,1,22,1195,39,317,3863,3,7180,729,66,3091,742,1883,0
134779,3,2590,55,1994,2212,138,792,28,0,17157,318,8864,3985,163,2460,976,3209,1030,60,0,3334,39331,241,18,92,85,1582,84,1994,4467,12,20176,1961,732,5120,694,5087,3736
3963,0,36,0,3,15,4,5,0,0,537,0,601,40,3,26,4,30,8,1,0,187,1624,0,0,0,0,5,0,28,118,0,178,82,1,147,11,269,0
61609,27,1142,3,1069,1699,103,257,1,0,4763,24,6784,1223,142,916,395,1863,521,15,0,3281,17762,54,11,1,22,1195,40,326,3942,3,7315,729,66,3245,742,1928,0
135633,3,2614,55,1994,2216,138,799,28,0,17323,318,8954,3988,167,2477,979,3217,1040,60,0,3412,39518,241,18,92,85,1586,84,2001,4606,12,20234,1977,732,5139,694,5097,3736
4003,0,36,0,3,15,4,5,0,0,542,0,604,40,3,26,4,30,9,1,0,191,1641,0,0,0,0,5,0,29,124,0,179,84,1,148,11,269,0
