TT,AN,AP,AR,AS,BR,CH,CT,DN,DD,DL,GA,GJ,HR,HP,JK,JH,KA,KL,LA,LD,MP,MH,MN,ML,MZ,NL,OR,PY,PB,RJ,SK,TN,TG,TR,UP,UT,WB,UN
274258,42,4955,49,4166,6179,324,1850,50,0,46106,364,20030,7832,449,3988,1544,6518,1949,463,0,8991,68908,386,42,47,162,4181,195,3157,11766,40,39096,4637,1056,12908,1790,10038,0
489892,71,11154,173,6530,8202,408,2458,171,0,74658,1037,28984,12478,828,6430,2176,10517,3717,943,0,12262,146656,1063,48,147,353,5936,521,4782,16016,87,72300,12027,1268,20204,2532,15453,7305
15168,0,144,1,8,48,6,13,0,0,2414,2,1696,209,8,90,12,178,21,1,0,521,6887,0,1,0,0,24,9,115,367,0,938,218,1,613,36,588,0
285993,42,5056,49,4188,6338,324,1867,50,0,46457,367,20638,7891,459,4004,1607,6578,1959,463,0,9210,77289,388,42,47,162,4271,201,3160,12195,40,39861,4673,1056,13103,1813,10145,0
491694,71,11225,173,6535,8224,414,2460,171,0,74734,1037,29297,12506,828,6463,2179,10547,3719,943,0,12327,147239,1063,48,147,353,5954,521,4887,16160,87,72461,12049,1269,20281,2534,15486,7305
15243,0,144,1,8,48,6,13,0,0,2417,2,1713,210,8,90,12,179,21,1,0,528,6914,0,1,0,0,24,9,116,370,0,938,221,1,614,36,599,0
286623,43,5090,49,4188,6358,325,1869,50,0,46459,367,20724,7901,462,4028,1607,6591,1973,463,0,9231,77469,388,42,47,162,4273,201,3163,12274,40,39909,4706,1056,13144,1821,10150,0
491881,72,11227,173,6535,8224,419,2461,171,0,74759,1037,29304,12507,828,6474,2179,10552,3751,943,0,12335,147256,1063,48,147,353,5954,521,4890,16180,87,72478,12056,1269,20305,2534,15487,7305
15256,0,144,1,8,48,6,13,0,0,2417,2,1714,210,8,90,12,179,21,1,0,530,6916,0,1,0,0,24,9,118,370,0,938,226,1,614,36,600,0
286672,43,5090,49,4188,6358,325,1869,50,0,46459,367,20726,7907,462,4028,1607,6592,1977,463,0,9231,77483,388,42,47,162,4273,201,3163,12274,40,39911,4719,1056,13150,1822,10150,0
500245,72,11358,174,6694,8430,419,2493,171,0,75922,1038,29716,12709,846,6651,2252,10693,3809,946,0,12581,150196,1064,48,147,364,6050,521,4926,16432,87,73416,12130,1286,20561,2567,15804,7675
15461,0,144,1,8,54,6,13,0,0,2435,2,1741,211,8,90,12,180,22,1,0,539,7015,0,1,0,0,24,9,120,379,0,944,232,1,626,37,607,0
290975,43,5145,49,4226,6460,335,1871,50,0,46688,368,21347,7938,486,4061,1647,6695,1987,463,0,9406,78567,388,42,47,162,4346,201,3181,12769,40,40598,4750,1061,13391,1822,10345,0
500554,72,11379,174,6695,8436,421,2494,171,0,75945,1038,29720,12716,846,6657,2253,10706,3816,946,0,12600,150278,1064,48,147,364,6051,521,4927,16446,87,73473,12150,1286,20569,2567,15819,7675
15467,0,144,1,8,54,6,13,0,0,2435,2,1741,211,8,91,12,180,23,1,0,540,7016,0,1,0,0,24,9,121,379,0,944,232,1,626,37,608,0
290990,43,5145,49,4226,6460,335,1873,50,0,46688,368,21349,7938,486,4061,1647,6697,1991,463,0,9406,78567,388,42,47,162,4346,201,3181,12769,40,40600,4750,1061,13391,1822,10348,0
509343,72,11489,174,6818,8678,425,2545,171,0,77240,1039,30158,12884,864,6762,2294,11005,3877,946,0,12798,152765,1075,48,147,371,6180,534,4957,16660,87,74622,12349,1331,20943,2725,16190,8123
15689,0,146,1,8,56,6,13,0,0,2492,2,1772,211,8,91,12,182,23,1,0,547,7105,0,1,0,0,24,9,122,380,0,957,237,1,630,37,616,0
295918,43,5196,49,4248,6669,335,1885,50,0,47091,370,22038,8015,495,4080,1647,6918,2006,467,0,9804,79815,393,42,47,162,4422,203,3201,13062,40,41357,4766,1062,13583,1822,10535,0
